SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
204212132,G11,55.8733357,-4.3129733,2
204212385,DD2,56.4703225,-3.0317411,2
204212698,CF81,51.7017292,-3.2446317,1
204212857,LL11,53.0634765,-3.0362413,2
204212976,LL15,53.1031832,-3.3161613,2
204213194,NP10,51.5780227,-3.0477786,2
204213299,SA71,51.6679926,-4.9293245,2
204213553,CF15,51.5333849,-3.271715,2
204213581,SA9,51.7812869,-3.7689001,2
204213607,NP4,51.7193671,-3.0470946,2
204213800,CF62,51.4039362,-3.310979,1
204213802,CF83,51.5867146,-3.2188145,2
204213982,BT47,54.9739997,-7.2126901,2
204214124,BT44,54.9722864,-6.287524,2
204214259,BT71,54.5128046,-6.7043034,2
204214269,BT71,54.5128046,-6.7043034,2
204214273,BT67,54.4869748,-6.2660667,2
204214312,BT8,54.540416,-5.9063825,2
204214366,BT48,55.0103984,-7.3273919,2
204214456,BT6,54.5799883,-5.897917,2
204214521,BT30,54.3352858,-5.702726,2
204214539,BT49,55.0473469,-6.9508217,2
204214838,BT17,54.5534071,-6.0198284,1
204214863,BT51,55.060214,-6.6830653,2
204215278,BT34,54.1531164,-6.1774814,1
204215358,BT71,54.5128046,-6.7043034,2
204215603,BT14,54.621457,-5.9626627,1
204215718,BT39,54.745645,-6.0174462,1
204216053,BT38,54.7289788,-5.8008313,2
204216078,BT60,54.2928226,-6.6487383,2
204216092,BT61,54.3687705,-6.6224601,2
204216158,BT25,54.3959469,-6.1138325,1
204216169,BT34,54.1531164,-6.1774814,1
204216191,BT63,54.4072137,-6.3906387,2
204216202,BT74,54.3451053,-7.6650636,2
204216305,BT63,54.4072137,-6.3906387,1
204216344,BT69,54.4199975,-6.9502828,1
204216555,BT74,54.3451053,-7.6650636,2
204216818,FY7,53.9159897,-3.0273891,2
204217384,TF1,52.7031424,-2.5029461,2
204217787,CT17,51.1291169,1.2937687,2
204218105,EX4,50.7313128,-3.526701,2
204218160,LA6,54.1754174,-2.6103862,2
204218570,WC1A,51.5201536,-0.1203458,2
204218691,GL12,51.6242009,-2.3889711,2
204218921,WR11,52.0958405,-1.9290168,2
204218982,WC1N,51.5229255,-0.1197316,2
204219014,GL11,51.6901084,-2.357213,2
204219240,SY8,52.3650723,-2.6953443,2
204219580,SS4,51.5930469,0.7118562,1
204220029,RG21,51.2648843,-1.0886279,2
204220236,SN3,51.5616826,-1.7456549,2
204220425,EC2,NA,NA,2
204220850,WV10,52.6191468,-2.1134738,2
204221293,M4,53.4848676,-2.2300315,2
204221402,CM12,51.6282277,0.4145027,1
204221462,CV10,52.5260857,-1.502331,2
204221489,SE5,51.4738341,-0.0914963,2
204221595,SO40,50.9129875,-1.5038949,2
204221691,NG13,52.9486758,-0.9073222,2
204222083,LE12,52.7677846,-1.191655,2
204222110,SE1,51.4991997,-0.0916245,2
204222289,SS4,51.5930469,0.7118562,1
204222513,SM3,51.3712541,-0.2162485,2
204250460,CR0,51.3732242,-0.0775432,2
204250916,EX39,51.015257,-4.2457737,2
204251186,EN1,51.6542098,-0.0680823,2
