SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
150200357,WD4,51.7059771,-0.4564485,4
150200416,CO9,51.9689789,0.6094407,4
150200417,KT3,51.3995791,-0.2574604,4
150200564,NG31,52.9144482,-0.6420228,4
150200570,OX14,51.667524,-1.2770907,4
150200671,WR4,52.203734,-2.1898149,3
150200986,B95,52.2859172,-1.7806898,3
150201755,TN20,51.0167888,0.2503568,3
150202556,GU33,51.0517463,-0.8903635,4
150202645,CF83,51.5867146,-3.2188145,3
150202706,RH13,51.0337894,-0.3279851,3
150202717,AL10,51.7604054,-0.2323864,4
150202765,SA4,51.6732535,-4.0486716,3
150203336,EX23,50.8243103,-4.5328043,3
150204320,TQ14,50.5507921,-3.5078648,4
150204404,M27,53.5121147,-2.3364528,3
150204429,OX15,52.0303387,-1.4113905,4
150204437,NN4,52.2144778,-0.8994462,4
150204491,SY2,52.705579,-2.729248,3
150204666,SY23,52.3800111,-4.051249,3
150205571,MK3,51.9937256,-0.7517663,4
150205761,BH19,50.611489,-1.97082,3
150205864,TW16,51.4157677,-0.4169227,4
150206023,B93,52.3804941,-1.7438511,4
150206235,SO14,50.9071878,-1.3973862,3
150206945,RG19,51.3912084,-1.2443747,3
150207064,BR2,51.387269,0.0224568,3
150207496,TR27,50.1828787,-5.4037493,4
150207615,CM19,51.7594581,0.0711651,5
150208156,L22,53.4772218,-3.0279256,4
150208917,NW3,51.5523422,-0.1725058,3
150208958,YO62,54.2461752,-0.9943394,4
150211420,PE25,53.1539916,0.3342567,4
150211905,HD6,53.7024215,-1.7843814,5
150212935,OX9,51.7379966,-0.9839931,4
150213024,SA20,52.0119374,-3.78776,4
150213220,SW18,51.4512533,-0.191462,3
150213327,M4,53.4848676,-2.2300315,4
150214177,RG14,51.3994972,-1.3231202,3
150215158,S60,53.4123073,-1.3507801,3
150215853,RG23,51.2582357,-1.1500593,4
150216264,W4,51.4912309,-0.2640107,4
150216459,HR8,52.0447156,-2.4453658,4
150217497,PR2,53.7782025,-2.7072842,3
150217569,PL31,50.4691274,-4.7226505,4
150218149,B62,52.4571593,-2.0337937,4
150218552,SY18,52.4415588,-3.5494041,3
150220998,W11,51.512272,-0.2164413,4
150222405,HP12,51.6259591,-0.7795608,5
150222646,NR16,52.4735481,1.0538628,4
150223796,SO15,50.9170655,-1.4245244,4
150224774,E1,51.5173859,-0.0595023,3
150225419,BA5,51.212571,-2.6552733,3
150225595,M33,53.4209662,-2.3262749,4
150226245,CT21,51.0725975,1.0760693,5
150226818,G68,55.9529877,-4.0160663,3
150227001,G33,55.8741808,-4.1653486,4
150227106,BN6,50.931059,-0.1555778,4
150227290,NG17,53.1160576,-1.2615156,5
150227588,SK7,53.3695112,-2.1434037,4
150227769,PE28,52.3588328,-0.1906381,3
150228215,KT11,51.3281995,-0.4028817,4
150228893,CF72,51.5298928,-3.4021313,5
150229242,G45,55.8049645,-4.2327269,4
150231494,KT3,51.3995791,-0.2574604,4
150231538,KA7,55.4471342,-4.6304833,4
150231909,NN1,52.2416489,-0.8883002,3
150232149,SO23,51.0685878,-1.3082473,3
150232377,CR0,51.3732242,-0.0775432,4
150233016,LS6,53.8200966,-1.5707608,4
150233191,TW12,51.4228861,-0.3697391,3
175000087,PE37,52.6410311,0.6995141,4
175000092,NG32,52.951308,-0.6513436,4
175000243,IP12,52.0933236,1.3698157,4
175000450,CR0,51.3732242,-0.0775432,4
175000517,RG6,51.4378229,-0.9281585,4
175000616,BN27,50.8718389,0.2634568,4
175000791,OX9,51.7379966,-0.9839931,4
175001505,WR9,52.2667884,-2.1583548,3
175001583,CM16,51.7002877,0.1200906,4
175001670,PO1,50.799499,-1.0896771,4
175002362,SK17,53.2445366,-1.8815141,4
175002619,BB18,53.9145757,-2.1720306,3
175002832,ME16,51.273831,0.4960741,4
175002977,EX31,51.0857144,-4.068489,3
175003169,NR21,52.8414338,0.8522567,4
175003193,PO15,50.8676994,-1.2281695,4
175003232,CB23,52.2151042,-0.0318968,4
175003238,TR26,50.2028293,-5.4789995,3
175003497,CA6,54.9933146,-2.8949601,3
175004162,BS1,51.4532627,-2.5935387,4
175004179,NN6,52.3269298,-0.9458447,4
175004307,NE15,54.9846077,-1.7244563,4
175004321,W3,51.5106335,-0.2679031,3
175005220,HG4,54.1569575,-1.5666498,4
175005232,DE4,53.1268023,-1.5654429,3
175005400,WC2A,51.5162229,-0.1142197,5
175005501,EC2R,51.5160606,-0.0909709,3
175006147,DL10,54.4138943,-1.6913727,3
